stt,he_thong,truong_bao_cao,y_nghia,bang_dtm,cot_dtm,trang_thai,ghi_chu
1,CLOS,PROCESSED_DATE,Ngày dữ liệu,FCT_CLOS_WORKSTEP_EVENT,EXITDATE,KHOP,"Grain chi tiết (1 dòng = 1 sự kiện workflow), khác PROCESSED_DATE rollup của FCT_CLOS_APPLICATION_DAILY — lấy trực tiếp EXITDATE (cột 10) của từng dòng FCT_CLOS_WORKSTEP_EVENT, đúng khớp SRS"
2,CLOS,WI_NAME,Mã hồ sơ,FCT_CLOS_WORKSTEP_EVENT,WI_NAME,KHOP,"Khóa chính (PK, cùng DAYID/WORKSTEP_CODE/ENTRYDATE)"
3,CLOS,WORKSTEP,Bước hồ sơ,FCT_CLOS_WORKSTEP_EVENT,WORKSTEP_CODE,KHOP,"Cột 3 — nguồn ENTRY_EXIT.WORKSTEP"
4,CLOS,DECISION,Quyết định,FCT_CLOS_WORKSTEP_EVENT,DECISION_CODE,KHOP,"Cột 11 — nguồn ENTRY_EXIT.DECISION"
5,CLOS,EXITDATE,Thời gian tạo quyết định,FCT_CLOS_WORKSTEP_EVENT,EXITDATE,KHOP,"Cột 10 — cùng cột PROCESSED_DATE (dòng 1), 2 trường báo cáo độc lập dùng chung 1 cột nguồn"
6,CLOS,SL_RETURN_NHAPLIEU,Số lần return tại Nhập liệu,FCT_CLOS_APPLICATION_DAILY,RETURN_CNT_DATAENTRY,KHOP,"Cột 57 — PHÁI SINH sẵn: SUM(CASE WORKSTEP='DetailDataEntry'+DECISION='Send_Back' OR WORKSTEP='DataInputerChecker'+DECISION='Additional_Doc_Required' THEN 1) GROUP BY WI_NAME, khớp đúng nguyên văn SRS"
7,CLOS,SL_RETURN_THAMDINH,Số lần return tại Thẩm định,FCT_CLOS_APPLICATION_DAILY,RETURN_CNT_UNDERWRITING,KHOP,"Cột 58 — PHÁI SINH sẵn: tổng UnderwriterMaker+UnderwriterChecker trừ COUNT ngoại lệ miễn trừ qua NG_SB_CLOS_EXCEPTION, khớp đúng nguyên văn SRS"
8,CLOS,SL_RETURN_PHEDUYET,Số lần return tại Cấp Phê duyệt,FCT_CLOS_APPLICATION_DAILY,RETURN_CNT_APPROVAL,KHOP,"Cột 59 — PHÁI SINH sẵn: SUM(CASE WORKSTEP IN ('CreditApproval','CreditCommittee')+DECISION='Additional_Doc_Required' THEN 1) GROUP BY WI_NAME"
9,RLOS,PROCESSED_DATE,Ngày dữ liệu,FCT_RLOS_WORKSTEP_EVENT,EXITDATE,KHOP,"Cùng cách lấy như nhánh CLOS (dòng 1), grain chi tiết theo sự kiện"
10,RLOS,WI_NAME,Mã hồ sơ,FCT_RLOS_WORKSTEP_EVENT,WI_NAME,KHOP,"Khóa chính (PK)"
11,RLOS,WORKSTEP,Bước hồ sơ,FCT_RLOS_WORKSTEP_EVENT,WORKSTEP_CODE,KHOP,"Nguồn ENTRY_EXIT.WORKSTEP"
12,RLOS,DECISION,Quyết định,FCT_RLOS_WORKSTEP_EVENT,DECISION_CODE,KHOP,"Nguồn ENTRY_EXIT.DECISION"
13,RLOS,EXITDATE,Thời gian tạo quyết định,FCT_RLOS_WORKSTEP_EVENT,EXITDATE,KHOP,"Cùng cột PROCESSED_DATE (dòng 9)"
14,RLOS,SL_RETURN_NHAPLIEU,Số lần return tại Nhập liệu,FCT_RLOS_APPLICATION_DAILY,RETURN_CNT_DATAENTRY,KHOP,"Cột 58 — PHÁI SINH sẵn, cùng công thức pattern như CLOS (HLD_DIM_SB_DWH.md:1694)"
15,RLOS,SL_RETURN_THAMDINH,Số lần return tại Thẩm định,FCT_RLOS_APPLICATION_DAILY,RETURN_CNT_UNDERWRITING,KHOP,"Cột 59 — ⚠️ SRS gốc ghi nhầm bảng trừ ngoại lệ là NG_SB_CLOS_EXCEPTION cho nhánh RLOS — HLD đã XÁC NHẬN VÀ SỬA ĐÚNG dùng NG_SB_RLOS_EXCEPTION (đúng hệ), không phải lỗi mapping (HLD_DIM_SB_DWH.md:1695, ghi chú lỗi copy-paste rõ ràng)"
16,RLOS,SL_RETURN_PHEDUYET,Số lần return tại Cấp Phê duyệt,FCT_RLOS_APPLICATION_DAILY,RETURN_CNT_APPROVAL,KHOP,"Cột 60 — PHÁI SINH sẵn, cùng công thức pattern như CLOS"
