stt,he_thong,truong_bao_cao,y_nghia,bang_dtm,cot_dtm,trang_thai,ghi_chu
1,CLOS,SYSTEMNAME,Hệ thống (CLOS/RLOS),FCT_CLOS_WORKSTEP_EVENT,DATASOURCE,KHOP,"Đổi nguồn từ FCT_CLOS_APPLICATION_DAILY sang FCT_CLOS_WORKSTEP_EVENT (review 2026-09-21) — BC3 là báo cáo event-grain (mỗi dòng = 1 dòng event đã lọc), giống pattern đã chốt cho BC4: nested table SRS BC3 (BR 1.2) nêu rõ WHERE a.WORKSTEP IN ('CreditApproval','CreditCommittee') AND a.DECISION IN ('Submit','Reject','Send To HOSupport','Send To PostSanction') trực tiếp trên NG_SB_CLOS_ENTRY_EXIT (a) — không phải aggregate 1 dòng/hồ sơ như LAST_WORKSTEP_SK/LAST_ENTRYDATE trên APPLICATION_DAILY. DATASOURCE có sẵn trên bảng này (cột kỹ thuật, cố định 'CLOS')"
2,CLOS,STREAM,Luồng hồ sơ,DIM_CLOS_APPLICATION,STREAM,KHOP,"Đổi đường JOIN (review 2026-09-21): APPLICATION_SK có sẵn trên FCT_CLOS_WORKSTEP_EVENT → DIM_CLOS_APPLICATION.STREAM (2.2.1.1 cột 8), nguồn NG_SB_CLOS_APPROVAL.STREAM — không đổi cột đích, chỉ đổi bảng FCT nguồn theo cùng lý do dòng 1/3"
3,CLOS,WINAME,Mã hồ sơ,FCT_CLOS_WORKSTEP_EVENT,WI_NAME,KHOP,"Đổi nguồn từ FCT_CLOS_APPLICATION_DAILY sang FCT_CLOS_WORKSTEP_EVENT (review 2026-09-21, cùng lý do dòng 1) — WI_NAME là 1 phần PK của bảng event (DAYID+WI_NAME+WORKSTEP_CODE+ENTRYDATE). Report lọc WHERE WORKSTEP_CODE IN ('CreditApproval','CreditCommittee') AND DECISION_CODE IN ('Submit','Reject','Send To HOSupport','Send To PostSanction') — đúng nguyên văn nested table SRS BC3 (BR 1.2, Các bảng sử dụng)"
4,CLOS,CUSTOMER_NAME,Tên khách hàng,DIM_CLOS_CUSTOMER,FULL_NAME,KHOP,"Đổi đường JOIN (review 2026-09-21): CUSTOMER_SK có sẵn trực tiếp trên FCT_CLOS_WORKSTEP_EVENT (bổ sung khi giải quyết BC4, xem HLD_FCT_SB_DWH.md 1.2.2.6 cột 24) → DIM_CLOS_CUSTOMER.FULL_NAME (2.2.1.7), không cần JOIN qua WI_NAME/APPLICATION_DAILY nữa. Nguồn gốc vẫn NG_SB_CLOS_CUST_INFO.CUSTOMER_NAME"
5,CLOS,WORKSTEP,Bước hồ sơ,FCT_CLOS_WORKSTEP_EVENT,WORKSTEP_CODE,KHOP,"Đóng PENDING (review 2026-09-21): nested table SRS BC3 (BR 1.2, 'Các bảng sử dụng') xác nhận rõ lọc WHERE WORKSTEP_CODE IN ('CreditApproval','CreditCommittee') AND DECISION_CODE IN ('Submit','Reject','Send To HOSupport','Send To PostSanction') — đúng nguyên văn nested table SRS BC3 (BR 1.2, Các bảng sử dụng) — đây chính là điều kiện chọn tập DÒNG EVENT đưa vào báo cáo (không phải điều kiện lọc phụ của riêng cột này). WORKSTEP_CODE là giá trị của CHÍNH dòng event đã lọc, không phải LAST_WORKSTEP_SK (bước hoàn tất gần nhất bất kỳ, có thể không phải bước phê duyệt). Đúng khớp SRS 'NG_SB_CLOS_ENTRY_EXIT> WORKSTEP' không kèm điều kiện lọc riêng vì điều kiện đã áp dụng ở tầng chọn dòng. Cùng pattern đã chốt cho BC4 (xem lld/BC4.csv#6)"
6,CLOS,DECISION,Quyết định,FCT_CLOS_WORKSTEP_EVENT,DECISION_CODE,KHOP,"Đóng PENDING (review 2026-09-21) — cùng lý do WORKSTEP (dòng 5): DECISION_CODE là giá trị của chính dòng event đã lọc WHERE (không phải LAST_DECISION_SK). Vì WHERE đã ràng DECISION_CODE IN 4 giá trị cụ thể, giá trị hiển thị luôn thuộc 1 trong 4 giá trị đó — đúng khớp SRS 'NG_SB_CLOS_ENTRY_EXIT> DECISION'"
7,CLOS,BI_APPROVER,User Chuyên gia phê duyệt,FCT_CLOS_WORKSTEP_EVENT,USERNAME,KHOP,"Đổi nguồn (review 2026-09-21, cùng lý do dòng 1/5): CASE WHEN WORKSTEP_CODE='CreditApproval' THEN USERNAME END trên chính dòng event đang xét (không phải APPROVER_USER 'hoàn tất gần nhất' của APPLICATION_DAILY) — đúng khớp SRS 'USERNAME, với điều kiện WORKSTEP=CreditApproval' áp cho chính dòng. Cùng cơ chế UND_MAKER đã chốt ở BC4 (lld/BC4.csv#7)"
8,CLOS,BI_COMMITTEE,User Hội đồng tín dụng,FCT_CLOS_WORKSTEP_EVENT,USERNAME,KHOP,"Đổi nguồn (review 2026-09-21, cùng lý do dòng 7): CASE WHEN WORKSTEP_CODE='CreditCommittee' THEN USERNAME END trên chính dòng event đang xét"
9,CLOS,ENTRYDATE,Thời gian lên bước phê duyệt,FCT_CLOS_WORKSTEP_EVENT,ENTRYDATE,KHOP,"Đóng PENDING (review 2026-09-21) — cùng lý do WORKSTEP/DECISION (dòng 5/6): ENTRYDATE là giá trị của chính dòng event đã lọc WHERE, không phải LAST_ENTRYDATE (sự kiện hoàn tất gần nhất bất kỳ, có thể không phải bước phê duyệt). Đúng khớp SRS 'NG_SB_CLOS_ENTRY_EXIT> ENTRYDATE' không kèm điều kiện lọc riêng"
10,CLOS,EXITDATE,Ngày báo cáo /Thời gian kết thúc bước phê duyệt,FCT_CLOS_WORKSTEP_EVENT,EXITDATE,KHOP,"Đóng PENDING (review 2026-09-21) — cùng lý do WORKSTEP/DECISION/ENTRYDATE: EXITDATE là giá trị của chính dòng event đã lọc WHERE (WORKSTEP IN ('CreditApproval','CreditCommittee') AND DECISION IN ('Submit','Reject','Send To HOSupport','Send To PostSanction') — tức luôn đã EXIT), không phải LAST_EXITDATE/LAST_APPROVAL_DATE. Ý nghĩa kép trong SRS ('Ngày báo cáo'/'Thời gian kết thúc bước phê duyệt') là do đúng dòng phê duyệt này cũng chính là mốc EXITDATE dùng để tính PROCESSED_DATE ưu tiên 1 (xem FCT_CLOS_WORKSTEP_EVENT.PROCESSED_DATE, cột 22) — không phải 2 khái niệm khác nhau"
11,CLOS,REMARKS,Ghi chú,FCT_CLOS_WORKSTEP_EVENT,REMARKS,KHOP,"Đổi nguồn từ FCT_CLOS_APPLICATION_DAILY.LAST_REMARKS (review 2026-09-21, cùng lý do dòng 5/9/10) — REMARKS của CHÍNH dòng event đã lọc WHERE, không phải REMARKS của sự kiện hoàn tất gần nhất bất kỳ"
