stt,truong_bao_cao,y_nghia,bang_dtm,cot_dtm,trang_thai,ghi_chu
1,DAYID,Ngày dữ liệu,FCT_RLOS_LOAN_DISBURSEMENT,DAYID,KHOP,"Cột 1 (PK) — nguồn STG_FCT_LOAN.DAYID, TRUNC về 00:00:00. Là ngày ảnh chụp số liệu, KHÔNG phải ngày nghiệp vụ"
2,CUSTOMER_ID,ID khách hàng,DIM_T24_CUSTOMER,CUSTOMER_ID,KHOP,"Join qua FCT_RLOS_LOAN_DISBURSEMENT.CUSTOMER_SK (cột 4, surrogate có sẵn trên STG_FCT_LOAN) → DIM_T24_CUSTOMER.DIMENSION_KEY, lấy CUSTOMER_ID (NK, nguồn STG_DIM_CUSTOMER.CUSTOMER). SRS ghi nguồn STG_FCT_LOAN.CUSTOMER_CODE nhưng HLD xác nhận đây tương đương business key đã tra sẵn qua CUSTOMER_SK (đối chiếu tại HLD_DIM_PDTD_DTM.md:851-863), không mất dữ liệu"
3,SHORT_NAME,Tên khách hàng,DIM_T24_CUSTOMER,SHORT_NAME,KHOP,"Cột 5 — nguồn STG_DIM_CUSTOMER_VW.SHORT_NAME. Join cùng CUSTOMER_SK ở trên"
4,BRANCH_NAME,Tên Chi nhánh,DIM_T24_COMPANY,BRANCH_NAME,KHOP,"Join qua FCT_RLOS_LOAN_DISBURSEMENT.COMPANY_SK (cột 5, lookup theo CO_CODE) → DIM_T24_COMPANY (2.1.4, cột 5, nguồn STG_DIM_COMPANY.BRANCH_NAME)"
5,COMPANY_NAME,Tên PGD,DIM_T24_COMPANY,COMPANY_NAME_VN,KHOP,"Cùng join COMPANY_SK ở trên — cột 6, nguồn STG_DIM_COMPANY.COMPANY_NAME_VN"
6,ZONE,Khu vực,FCT_RLOS_LOAN_DISBURSEMENT,ZONE,KHOP,"Cột 10 — PHÁI SINH: LEFT JOIN TMP_REF_COMPANY_REGION_KHCN (2.4.3) theo STG_FCT_LOAN.CO_CODE=COMPANY_CODE, lấy VUNG. Lưu trực tiếp trên fact (không tách FK riêng) vì nguồn là bảng REF_ tĩnh — KHÁC HẲN vấn đề PENDING ZONE của BC1/BC2 (DIM_LOS_ORG_UNIT), đây là bảng REF_ riêng cho luồng giải ngân T24, đã có sẵn đúng ý nghĩa 'tên vùng'"
7,CONTRACT,Mã hợp đồng,FCT_RLOS_LOAN_DISBURSEMENT,CONTRACT,KHOP,"Cột 2 (PK) — nguồn STG_FCT_LOAN.CONTRACT (1:1 từ SB_DWH.FCT_LOAN.CONTRACT)"
8,VALUE_DATE,Ngày giải ngân,DIM_T24_LOAN,VALUE_DATE,KHOP,"Join qua FCT_RLOS_LOAN_DISBURSEMENT.CONTRACT_SK (cột 6) → DIM_T24_LOAN (2.1.5, cột 5, nguồn STG_DIM_LOAN.VALUE_DATE)"
9,MATURITY_DATE,Ngày đáo hạn,DIM_T24_LOAN,MATURITY_DATE,KHOP,"Cùng join CONTRACT_SK ở trên — cột 6, nguồn STG_DIM_LOAN.MATURITY_DATE"
10,STATUS,Trạng thái của hợp đồng (Active/Deactive),DIM_T24_LOAN,REC_STATUS,KHOP,"Cùng join CONTRACT_SK ở trên — cột 7, nguồn STG_DIM_LOAN.REC_STATUS"
