stt,truong_bao_cao,y_nghia,bang_dtm,cot_dtm,trang_thai,ghi_chu
1,BI_FLOW,Phân khúc hồ sơ,DIM_RLOS_APPLICATION,BI_FLOW,KHOP,PHÁI SINH tại PDTD_DTM: LEFT JOIN REF_RLOS_FLOW theo STREAM (HLD_Table_Design.md#6256)
2,STREAM,Luồng hồ sơ,DIM_RLOS_APPLICATION,STREAM,KHOP,"Bê 1:1 từ SB_DWH, nguồn gốc NG_SB_RLOS_APPROVAL.STREAM"
3,CHANGE_REQUEST,Thay đổi điều kiện (New/Change),DIM_RLOS_APPLICATION,CHANGE_REQUEST,KHOP,"Bê 1:1 từ SB_DWH, nguồn gốc NG_SB_RLOS_EXTTABLE.REQ_TYPE"
4,CHANGE_TYPE,Loại thay đổi điều kiện,DIM_RLOS_APPLICATION,CHANGE_TYPE,KHOP,"Bê 1:1 từ SB_DWH, nguồn gốc NG_SB_RLOS_EXTTABLE.CHANGE_TYPE. Cũng dùng làm khóa either/or tra SLA (2.3.1.1)"
5,CHANGE_TYPE_DETAIL,Chi tiết loại thay đổi điều kiện,DIM_RLOS_CHANGE_TYPE,DETAIL_CHANGE_TYPE_NAME,KHOP,"Join qua CHANGE_TYPE_SK trên FCT_RLOS_APPLICATION_DAILY sang DIM_RLOS_CHANGE_TYPE (2.3.1.7, 9 cột, bê 1:1 từ SB_DWH)"
6,BI_CUS_SEGMENT,Phân khúc khách hàng chuẩn,DIM_RLOS_APPLICATION,BI_CUS_SEGMENT,KHOP,"Bê 1:1 từ SB_DWH — PHÁI SINH tại SB_DWH: CASE UPPER(CUS_SEGMENT) LIKE '%XANH'→XANH, ='CBNV'→CBNV, else→THUONG (HLD_DIM_SB_DWH.md:1381)"
7,WINAME,Mã hồ sơ vay,FCT_RLOS_APPLICATION_DAILY,WI_NAME,KHOP,"Khóa chính (PK) của bảng, cũng là NK trên DIM_RLOS_APPLICATION"
8,PROCESSED_DATE,Ngày dữ liệu báo cáo,FCT_RLOS_APPLICATION_DAILY,PROCESSED_DATE,KHOP,"Bê 1:1 từ SB_DWH, cột 24 (HLD_FCT_SB_DWH.md:1660) — tính theo 3 mức ưu tiên đúng SRS"
9,CREATION_DATE,Ngày khởi tạo hồ sơ,FCT_RLOS_APPLICATION_DAILY,CREATION_DATE,KHOP,"Bê 1:1 từ SB_DWH, cột 27 = TRUNC(MIN(ENTRYDATE)) theo WI_NAME. Cũng có bản trùng trên DIM_RLOS_APPLICATION.CREATION_DATE (cột 19)"
10,BI_APPSTATUS,Trạng thái cuối của hồ sơ,FCT_RLOS_APPLICATION_DAILY,BI_APPSTATUS,KHOP,"Bê 1:1 từ SB_DWH, cột 37 — Approved/Rejected/Cancelled/Processing"
11,CUSTOMER_NAME,Tên khách hàng,DIM_RLOS_APPLICANT,FULL_NAME,KHOP,"DIM_RLOS_APPLICANT (2.3.1.10, bê 1:1 từ SB_DWH 1.3.1.10) — join qua APPLICANT_SK trên FCT_RLOS_APPLICATION_DAILY. Bảng cũ FCT_LOS_APPLICATION_PARTY đã đổi thành DIM"
12,ADD_ID,"Số ""TCC"", Số ""CC""",DIM_RLOS_APPLICANT,ADD_ID,KHOP,"PHÁI SINH: pivot NG_SB_RLOS_APPLICANT_IDGRID.ID_NUMBER lọc ID_TYPE IN ('TCC','CC'), nối chuỗi ';' nếu nhiều (HLD_DIM_SB_DWH.md:1846)"
13,ADD_ID_OTHER,Số GTTT khác,DIM_RLOS_APPLICANT,ADD_ID_OTHER,KHOP,"PHÁI SINH: pivot ID_NUMBER lọc ID_TYPE NOT IN ('TCC','CC'), nối chuỗi ';' (HLD_DIM_SB_DWH.md:1847)"
14,CUSTOMER_ID,Mã khách hàng,DIM_T24_CUSTOMER,CUSTOMER_ID,KHOP,"Join qua FCT_RLOS_APPLICATION_DAILY.T24_CUSTOMER_SK → DIM_T24_CUSTOMER (2.1.3). Khóa join thật: LEGAL_ID/LEGAL_DOC_NAME khớp DIM_RLOS_APPLICANT.ADD_ID/ADD_ID_OTHER (tách chuỗi theo thứ tự nối, xem FCT_RLOS_APPLICATION_DAILY cột 80)"
15,DATE_OF_BIRTH,Ngày sinh,DIM_RLOS_APPLICANT,DATE_OF_BIRTH,KHOP,"Nguồn NG_SB_RLOS_APPLICANT_GENERAL.DOB (HLD_DIM_SB_DWH.md:1837). SRS cũ ghi STG_DIM_CUSTOMER (T24) — HLD hiện tại lấy từ applicant LOS, không phải T24"
16,GENDER,Giới tính,DIM_RLOS_APPLICANT,GENDER,KHOP,Nguồn NG_SB_RLOS_APPLICANT_GENERAL.GENDER
17,PERMANENT_RESIDENCE_ADDRESS,Địa chỉ thường trú,DIM_RLOS_APPLICANT,PERM_ADDRESS,KHOP,Tên cột đích trong HLD là PERM_ADDRESS (SRS gốc ghi PERM_ADD) — nguồn NG_SB_RLOS_APPLICANT_DETAIL.PERM_ADD
