stt,truong_bao_cao,y_nghia,bang_dtm,cot_dtm,trang_thai,ghi_chu
1,DAYID,Ngày dữ liệu,FCT_CLOS_LOAN_DISBURSEMENT,DAYID,KHOP,"Cột 1 (PK) — nguồn STG_FCT_LOAN.DAYID, TRUNC về 00:00:00. Là ngày ảnh chụp số liệu, KHÔNG phải ngày nghiệp vụ"
2,CUSTOMER_ID,ID khách hàng,DIM_T24_CUSTOMER,CUSTOMER_ID,KHOP,"Join qua FCT_CLOS_LOAN_DISBURSEMENT.CUSTOMER_SK (cột 4) → DIM_T24_CUSTOMER.DIMENSION_KEY, lấy CUSTOMER_ID (NK). Cùng cách BC10.CUSTOMER_ID (lld/BC10.csv#2) — SRS ghi STG_FCT_LOAN.CUSTOMER_CODE, HLD xác nhận tương đương business key đã tra sẵn"
3,SHORT_NAME,Tên khách hàng,DIM_T24_CUSTOMER,SHORT_NAME,KHOP,"Cùng join CUSTOMER_SK ở trên — nguồn STG_DIM_CUSTOMER_VW.SHORT_NAME"
4,CUST_GROUP,Nhóm khách hàng,FCT_CLOS_LOAN_DISBURSEMENT,CUST_GROUP,KHOP,"Cột 16 — PHÁI SINH: JOIN APPLICATION_SK sang DIM_CLOS_APPLICATION.CUST_GROUP. Đúng khớp SRS (NG_SB_CLOS_CUST_INFO.CUST_GROUP tại nguồn gốc, nay đọc qua DIM_CLOS_APPLICATION)"
5,BRANCH_NAME,Tên Chi nhánh,DIM_T24_COMPANY,BRANCH_NAME,KHOP,"Join qua FCT_CLOS_LOAN_DISBURSEMENT.COMPANY_SK (cột 5, lookup theo CO_CODE) → DIM_T24_COMPANY (2.1.4)"
6,COMPANY_NAME,Tên PGD,DIM_T24_COMPANY,COMPANY_NAME_VN,KHOP,"Cùng join COMPANY_SK ở trên"
7,ZONE,Khu vực,FCT_CLOS_LOAN_DISBURSEMENT,ZONE,KHOP,"Cột 10 — PHÁI SINH: LEFT JOIN TMP_REF_COMPANY_REGION_KHDN (2.4.4, khác bảng KHCN của BC10) theo CO_CODE=COMPANY_CODE, lấy VUNG. Giá trị quan sát: Miền Bắc, Miền Nam, Hà Nội"
8,CONTRACT,Mã hợp đồng,FCT_CLOS_LOAN_DISBURSEMENT,CONTRACT,KHOP,"Cột 2 (PK) — nguồn STG_FCT_LOAN.CONTRACT"
9,VALUE_DATE,Ngày giải ngân,DIM_T24_LOAN,VALUE_DATE,KHOP,"Join qua CONTRACT_SK (cột 6) → DIM_T24_LOAN (2.1.5)"
10,MATURITY_DATE,Ngày đáo hạn,DIM_T24_LOAN,MATURITY_DATE,KHOP,"Cùng join CONTRACT_SK ở trên"
11,STATUS,Trạng thái của hợp đồng (Active/Deactive),DIM_T24_LOAN,REC_STATUS,KHOP,"Cùng join CONTRACT_SK ở trên"
12,DISBURSEMENT_AMT_T24,Số tiền giải ngân,FCT_CLOS_LOAN_DISBURSEMENT,DISBURSEMENT_AMT,KHOP,"Cột 11 — PHÁI SINH: ABS(STG_FCT_LOAN.FIRST_DISBURSEMENT_AMT)"
13,CUR_BALANCE,Dư nợ hiện tại,FCT_CLOS_LOAN_DISBURSEMENT,CUR_BALANCE,KHOP,"Cột 12 — PHÁI SINH: (ABS(NVL(BALANCE,0))+ABS(NVL(PD_BALANCE,0)))*REVAL_RATE"
14,NO_DAYS_OVERDUE,Số ngày quá hạn,FCT_CLOS_LOAN_DISBURSEMENT,NO_DAYS_OVERDUE,KHOP,"Cột 13 — PHÁI SINH: self-join STG_FCT_LOAN theo PD_CONTRACT"
15,CUR_BUCKET,Nhóm nợ,FCT_CLOS_LOAN_DISBURSEMENT,CUR_BUCKET,KHOP,"Cột 14 — PHÁI SINH: CASE theo NO_DAYS_OVERDUE (>360→5,>180→4,>90→3,>=10→2,else→1)"
16,PRODUCT_T24,Sản phẩm giải ngân,DIM_T24_SEAB_PRODUCTS_DE,SEAB_PRODUCTS_DE_NAME,KHOP,"Join qua SEAB_PRODUCTS_DE_SK (cột 7) → DIM_T24_SEAB_PRODUCTS_DE (2.1.6). SRS ghi SEAB_PRODUCTS_SK — xác nhận thiếu chính tả"
17,SEAB_LOS_ID,Mã hồ sơ,FCT_CLOS_LOAN_DISBURSEMENT,SEAB_LOS_ID,KHOP,"Cột 9 — nguồn STG_FCT_LOAN.SEAB_LOS_ID"
18,CONTRACT_REF,Mã hợp đồng REF,DIM_T24_LOAN,CONTRACT_REF,KHOP,"Cùng join CONTRACT_SK ở trên"
19,REF_VALUE_DATE,Ngày hợp đồng REF có hiệu lực,DIM_T24_LOAN,REF_VALUE_DATE,KHOP,"Cùng join CONTRACT_SK ở trên"
20,LIMIT_REFERENCE,Mã Limit,FCT_CLOS_LOAN_DISBURSEMENT,LIMIT_REFERENCE,KHOP,"Cột 15 — nguồn STG_FCT_LOAN.LIMIT_REF. Giữ trên fact (không chuyển DIM_T24_LOAN) vì nguồn là STG_FCT_LOAN chứ không phải STG_DIM_LOAN — chỉ có ở BC11 (CLOS), BC10 không có trường này"
21,LOANCASEID,Mã LOANCASEID,FCT_CLOS_LOAN_DISBURSEMENT,LOANCASEID,KHOP,"Cột 17 — PHÁI SINH: JOIN APPLICATION_SK sang DIM_CLOS_APPLICATION.LOANCASEID, CHỈ giữ giá trị khi CHANGE_REQUEST='New' (đúng công thức SRS: nếu i.CHANGE_REQUEST='New' lấy h.LOANCASEID, else NULL), còn lại gán NULL dù DIM có giá trị khác"
22,APPROVAL_WINAME_LOS,Mã hồ sơ phê duyệt,FCT_CLOS_LOAN_DISBURSEMENT,APPROVAL_WINAME_LOS,KHOP,"Cột 18 — PHÁI SINH: JOIN APPLICATION_SK sang DIM_CLOS_APPLICATION.FIRST_APPROVED_WI_NAME (= MIN(WI_NAME) group theo LOANCASEID, đã đính chính công thức đúng SRS tại review 2026-09-15, xem HLD_Table_Design.md:129-143)"
23,APPROVAL_DATE,Ngày phê duyệt,FCT_CLOS_LOAN_DISBURSEMENT,APPROVAL_DATE,KHOP,"Cột 19 — PHÁI SINH: JOIN APPLICATION_SK sang DIM_CLOS_APPLICATION.FIRST_APPROVED_DATE (= MAX(EXITDATE) với điều kiện USERNAME IS NOT NULL AND WORKSTEP IN ('CreditApproval','CreditCommittee') AND DECISION IN ('Submit','Send To HOSupport','Send To PostSanction') — đúng khớp nguyên văn SRS, đã đính chính review 2026-09-15)"
