stt,he_thong,truong_bao_cao,y_nghia,bang_dtm,cot_dtm,trang_thai,ghi_chu
1,CLOS,SYSTEMNAME,Hệ thống (CLOS/RLOS),FCT_CLOS_APPLICATION_DAILY,DATASOURCE,KHOP,"Đính chính (review 2026-09-21, người dùng chỉ ra qua BC4): không phải hằng số ngoài phạm vi — cột DATASOURCE có sẵn trên FCT_CLOS_APPLICATION_DAILY (cột kỹ thuật, cột 3, luôn cố định 'CLOS' sau khi tách vật lý CLOS/RLOS)"
2,CLOS,PROCESSED_DATE,Ngày dữ liệu - Ngày mới nhất của dữ liệu,FCT_CLOS_APPLICATION_DAILY,PROCESSED_DATE,KHOP,"Cột 22 — cùng công thức 3 mức ưu tiên, cùng cột đã dùng cho BC1/BC2/BC4.PROCESSED_DATE"
3,CLOS,WINAME,Mã hồ sơ,FCT_CLOS_APPLICATION_DAILY,WI_NAME,KHOP,Khóa chính (PK) của bảng
4,CLOS,BI_APPSTATUS,Trạng thái hồ sơ,FCT_CLOS_APPLICATION_DAILY,BI_APPSTATUS,KHOP,"Cột 35 — Approved/Rejected/Cancelled/Processing, cùng cột đã dùng cho BC1/BC2"
5,CLOS,STEP01_BRANCH_CL_TAT,Tổng thời gian xử lý tại chi nhánh theo Calendar minutes,FCT_CLOS_WORKSTEP_EVENT,TAT_CALENDAR_HOUR,KHOP,"PHÁI SINH ở tầng report: SUM(TAT_CALENDAR_HOUR) WHERE WORKSTEP_CODE='BranchSupport'. Cột TAT_CALENDAR_HOUR (cột 15) sẵn có, đơn vị GIỜ (khác 'minutes' trong tên trường SRS — cần lưu ý đổi đơn vị khi hiển thị, xem PENDING dòng note)"
6,CLOS,STEP01_BRANCH_WK_TAT,Tổng thời gian xử lý tại chi nhánh theo Working minutes,FCT_CLOS_WORKSTEP_EVENT,TAT_WORKING_HOUR,KHOP,"PHÁI SINH: SUM(TAT_WORKING_HOUR) WHERE WORKSTEP_CODE='BranchSupport'. Cột 16, đã tính sẵn GET_BUSINESS_MINUTE(ENTRYDATE,EXITDATE)/60 đúng khớp công thức SRS"
7,CLOS,STEP01_BRANCH_TAT_CPC,Tổng thời gian xử lý tại chi nhánh theo cam kết SLA,FCT_CLOS_WORKSTEP_EVENT,TAT_CPC_HOUR,KHOP,"PHÁI SINH: SUM(TAT_CPC_HOUR) WHERE WORKSTEP_CODE='BranchSupport'. Cột 17, đã tính sẵn GET_BUSINESS_MINUTE_CPC/60 đúng khớp công thức SRS (8-11:30, 13:30-16:30)"
8,CLOS,STEP02_DDE_CL_TAT,Tổng thời gian tất cả các bước DetailDataEntry theo Calendar minutes,FCT_CLOS_WORKSTEP_EVENT,TAT_CALENDAR_HOUR,KHOP,"PHÁI SINH: SUM(TAT_CALENDAR_HOUR) WHERE WORKSTEP_CODE IN ('DetailDataEntry','CLOS_DetailDataEntry')"
9,CLOS,STEP02_DDE_WK_TAT,Tổng thời gian tất cả các bước DetailDataEntry theo Working minutes,FCT_CLOS_WORKSTEP_EVENT,TAT_WORKING_HOUR,KHOP,"PHÁI SINH: SUM(TAT_WORKING_HOUR) WHERE WORKSTEP_CODE IN ('DetailDataEntry','CLOS_DetailDataEntry')"
10,CLOS,STEP02_DDE_TAT_CPC,Tổng thời gian tất cả các bước DetailDataEntry theo cam kết SLA,FCT_CLOS_WORKSTEP_EVENT,TAT_CPC_HOUR,KHOP,"PHÁI SINH: SUM(TAT_CPC_HOUR) WHERE WORKSTEP_CODE IN ('DetailDataEntry','CLOS_DetailDataEntry'). Đầu vào so sánh với SLA_DE để ra SLA_DE_RESULT"
11,CLOS,STEP03_QUALITY_CHECKER_CL_TAT,Tổng thời gian tất cả các bước DataInputerChecker theo Calendar minutes,FCT_CLOS_WORKSTEP_EVENT,TAT_CALENDAR_HOUR,KHOP,"PHÁI SINH: SUM(TAT_CALENDAR_HOUR) WHERE WORKSTEP_CODE IN ('DataInputerChecker','CLOS_DataInputerChecker')"
12,CLOS,STEP03_QUALITY_CHECKER_WK_TAT,Tổng thời gian tất cả các bước DataInputerChecker theo Working minutes,FCT_CLOS_WORKSTEP_EVENT,TAT_WORKING_HOUR,KHOP,"PHÁI SINH: SUM(TAT_WORKING_HOUR) WHERE WORKSTEP_CODE IN ('DataInputerChecker','CLOS_DataInputerChecker')"
13,CLOS,STEP03_QUALITY_CHECKER_TAT_CPC,Tổng thời gian tất cả các bước DataInputerChecker theo cam kết SLA,FCT_CLOS_WORKSTEP_EVENT,TAT_CPC_HOUR,KHOP,"PHÁI SINH: SUM(TAT_CPC_HOUR) WHERE WORKSTEP_CODE IN ('DataInputerChecker','CLOS_DataInputerChecker'). Đầu vào so sánh với SLA_QC"
14,CLOS,STEP04_UNDMAKER_CL_TAT,Tổng thời gian tất cả các bước UnderwriterMaker theo Calendar minutes,FCT_CLOS_WORKSTEP_EVENT,TAT_CALENDAR_HOUR,KHOP,PHÁI SINH: SUM(TAT_CALENDAR_HOUR) WHERE WORKSTEP_CODE='UnderwriterMaker'
15,CLOS,STEP04_UNDMAKER_WK_TAT,Tổng thời gian tất cả các bước UnderwriterMaker theo Working minutes,FCT_CLOS_WORKSTEP_EVENT,TAT_WORKING_HOUR,KHOP,PHÁI SINH: SUM(TAT_WORKING_HOUR) WHERE WORKSTEP_CODE='UnderwriterMaker'
16,CLOS,STEP04_UNDMAKER_TAT_CPC,Tổng thời gian tất cả các bước UnderwriterMaker theo cam kết SLA,FCT_CLOS_WORKSTEP_EVENT,TAT_CPC_HOUR,KHOP,PHÁI SINH: SUM(TAT_CPC_HOUR) WHERE WORKSTEP_CODE='UnderwriterMaker'. So sánh với SLA_MARKER ra SLA_MARKER_RESUTL
17,CLOS,STEP04_UNDCHECKER_CL_TAT,Tổng thời gian tất cả các bước UnderwriterChecker theo Calendar minutes,FCT_CLOS_WORKSTEP_EVENT,TAT_CALENDAR_HOUR,KHOP,PHÁI SINH: SUM(TAT_CALENDAR_HOUR) WHERE WORKSTEP_CODE='UnderwriterChecker'
18,CLOS,STEP04_UNDCHECKER_WK_TAT,Tổng thời gian tất cả các bước UnderwriterChecker theo Working minutes,FCT_CLOS_WORKSTEP_EVENT,TAT_WORKING_HOUR,KHOP,PHÁI SINH: SUM(TAT_WORKING_HOUR) WHERE WORKSTEP_CODE='UnderwriterChecker'
19,CLOS,STEP04_UNDCHECKER_TAT_CPC,Tổng thời gian tất cả các bước UnderwriterChecker theo cam kết SLA,FCT_CLOS_WORKSTEP_EVENT,TAT_CPC_HOUR,KHOP,PHÁI SINH: SUM(TAT_CPC_HOUR) WHERE WORKSTEP_CODE='UnderwriterChecker'. So sánh với SLA_CHECKER ra SLA_CHECKER_RESUTL
20,CLOS,STEP04_UND_TAT_CPC,Tổng thời gian tất cả các bước UnderwriterMaker và UnderwriterChecker theo cam kết SLA,FCT_CLOS_WORKSTEP_EVENT,TAT_CPC_HOUR,KHOP,"PHÁI SINH: SUM(TAT_CPC_HOUR) WHERE WORKSTEP_CODE IN ('UnderwriterMaker','UnderwriterChecker'). So sánh với SLA_CREDIT_OFFICER ra SLA_CO_RESUTL"
21,CLOS,STEP07_APPROVER_CL_TAT,Tổng thời gian tất cả các bước CreditApproval theo Calendar minutes,FCT_CLOS_WORKSTEP_EVENT,TAT_CALENDAR_HOUR,KHOP,PHÁI SINH: SUM(TAT_CALENDAR_HOUR) WHERE WORKSTEP_CODE='CreditApproval'
22,CLOS,STEP07_APPROVER_WK_TAT,Tổng thời gian tất cả các bước CreditApproval theo Working minutes,FCT_CLOS_WORKSTEP_EVENT,TAT_WORKING_HOUR,KHOP,PHÁI SINH: SUM(TAT_WORKING_HOUR) WHERE WORKSTEP_CODE='CreditApproval'
23,CLOS,STEP07_APPROVER_TAT_CPC,Tổng thời gian tất cả các bước CreditApproval theo cam kết SLA,FCT_CLOS_WORKSTEP_EVENT,TAT_CPC_HOUR,KHOP,PHÁI SINH: SUM(TAT_CPC_HOUR) WHERE WORKSTEP_CODE='CreditApproval'. So sánh với SLA_CREDIT_APPROVER ra SLA_APPROVER_RESULT
24,CLOS,STEP07_COMMITTEE_CL_TAT,Tổng thời gian tất cả các bước CreditCommittee theo Calendar minutes,FCT_CLOS_WORKSTEP_EVENT,TAT_CALENDAR_HOUR,KHOP,PHÁI SINH: SUM(TAT_CALENDAR_HOUR) WHERE WORKSTEP_CODE='CreditCommittee'
25,CLOS,STEP07_COMMITTEE_WK_TAT,Tổng thời gian tất cả các bước CreditCommittee theo Working minutes,FCT_CLOS_WORKSTEP_EVENT,TAT_WORKING_HOUR,KHOP,PHÁI SINH: SUM(TAT_WORKING_HOUR) WHERE WORKSTEP_CODE='CreditCommittee'
26,CLOS,REF_PRODUCT,Nhóm sản phẩm SLA,DIM_CLOS_APPLICATION,REF_PRODUCT,KHOP,"Cột 25 (bổ sung tại PDTD_DTM) — PHÁI SINH: LEFT JOIN CLOS_REF_SLA_TDKHDNL/CLOS_REF_SLA_TDKHDN (chọn theo CUST_GROUP) theo PRODUCT_LINE+SUB_PRODUCT+HAVE_ANY_DEVIATION+FLAG_APP_GRP. SRS ghi NVL(file1,file3) — khớp đúng cơ chế chọn bảng theo CUST_GROUP đã xác nhận với BA (HLD_Table_Design.md:5929)"
27,CLOS,SLA_CREDIT_OFFICER,Cam kết SLA của Phòng thẩm định,DIM_CLOS_APPLICATION,SLA_CREDIT_OFFICER,KHOP,"Cột 26 — cùng LEFT JOIN trên. APP_GRP='C1': hằng số cứng 4 giờ, không lookup (đã xác nhận với BA, xem HLD_REF.md:232-247)"
28,CLOS,SLA_CREDIT_APPROVER,Cam kết SLA của Chuyên gia phê duyệt,DIM_CLOS_APPLICATION,SLA_CREDIT_APPROVER,KHOP,"Cột 29 — cùng LEFT JOIN trên. APP_GRP='C1': hằng số cứng 4 giờ. SRS ghi rõ điều kiện C1 riêng cho cột này, khớp đúng thiết kế"
29,CLOS,SLA_MARKER,Cam kết SLA của Chuyên viên thẩm định,DIM_CLOS_APPLICATION,SLA_MARKER,KHOP,Cột 27 — cùng LEFT JOIN trên. APP_GRP='C1': hằng số cứng 4 giờ
30,CLOS,SLA_CHECKER,Cam kết SLA của Kiểm soát thẩm định,DIM_CLOS_APPLICATION,SLA_CHECKER,KHOP,Cột 28 — cùng LEFT JOIN trên. APP_GRP='C1': hằng số cứng 4 giờ
31,CLOS,SLA_MARKER_RESUTL,Kết quả SLA của Chuyên viên thẩm định,,so sánh STEP04_UNDMAKER_TAT_CPC vs SLA_MARKER,KHOP,"PHÁI SINH hoàn toàn ở tầng report (CASE so sánh 2 giá trị đã có ở dòng 16 và 29), không phải cột vật lý trên DTM"
32,CLOS,SLA_CHECKER_RESUTL,Kết quả SLA của Kiểm soát thẩm định,,so sánh STEP04_UNDCHECKER_TAT_CPC vs SLA_CHECKER,KHOP,"PHÁI SINH ở tầng report, so sánh dòng 19 và 30"
33,CLOS,SLA_CO_RESUTL,Kết quả SLA của Phòng thẩm định,,so sánh STEP04_UND_TAT_CPC vs SLA_CREDIT_OFFICER,KHOP,"PHÁI SINH ở tầng report, so sánh dòng 20 và 27"
34,CLOS,SLA_APPROVER_RESULT,Kết quả SLA của Chuyên gia phê duyệt,,so sánh STEP07_APPROVER_TAT_CPC vs SLA_CREDIT_APPROVER,KHOP,"PHÁI SINH ở tầng report, so sánh dòng 23 và 28"
35,CLOS,SLA_CO_APPROVER_RESULT,Kết quả SLA của Phòng thẩm định và Chuyên gia phê duyệt,,so sánh (STEP04_UND_TAT_CPC+STEP07_APPROVER_TAT_CPC) vs (SLA_CREDIT_OFFICER+SLA_CREDIT_APPROVER),KHOP,"PHÁI SINH ở tầng report, tổng hợp từ 4 giá trị đã map ở trên"
36,CLOS,TAT_PHONG_CL_TAT,Tổng thời gian tất cả các bước UnderwriterMaker và UnderwriterChecker theo Calendar minutes,FCT_CLOS_WORKSTEP_EVENT,TAT_CALENDAR_HOUR,KHOP,"PHÁI SINH: SUM(TAT_CALENDAR_HOUR) WHERE WORKSTEP_CODE IN ('UnderwriterMaker','UnderwriterChecker')"
37,CLOS,TAT_PHONG_WK_TAT,Tổng thời gian tất cả các bước UnderwriterMaker và UnderwriterChecker theo Working minutes,FCT_CLOS_WORKSTEP_EVENT,TAT_WORKING_HOUR,KHOP,"PHÁI SINH: SUM(TAT_WORKING_HOUR) WHERE WORKSTEP_CODE IN ('UnderwriterMaker','UnderwriterChecker')"
38,CLOS,TAT_KHOI_PDTD_CL_TAT,Tổng thời gian tất cả các bước Phòng thẩm định và Chuyên gia phê duyệt theo Calendar minutes,FCT_CLOS_WORKSTEP_EVENT,TAT_CALENDAR_HOUR,KHOP,"PHÁI SINH: SUM(TAT_CALENDAR_HOUR) WHERE WORKSTEP_CODE IN ('UnderwriterMaker','UnderwriterChecker','CreditApproval','CreditCommittee')"
39,CLOS,TAT_KHOI_PDTD_WK_TAT,Tổng thời gian tất cả các bước Phòng thẩm định và Chuyên gia phê duyệt theo Working minutes,FCT_CLOS_WORKSTEP_EVENT,TAT_WORKING_HOUR,KHOP,"PHÁI SINH: SUM(TAT_WORKING_HOUR) WHERE WORKSTEP_CODE IN ('UnderwriterMaker','UnderwriterChecker','CreditApproval','CreditCommittee')"
40,CLOS,BI_FLAG_APPROVAL,Phê duyệt lần đầu/ từ lần thứ 2,FCT_CLOS_WORKSTEP_EVENT,BI_FLAG_APPROVAL,KHOP,"Cột 20 — PHÁI SINH sẵn: 'First Approval' nếu EXITDATE <= MIN(EXITDATE các sự kiện phê duyệt cùng hồ sơ), else 'From Second Approval'. Khớp đúng nguyên văn SRS (HLD_FCT_SB_DWH.md:1601)"
41,CLOS,ENTRYDATE_DDE,Thời gian lần đầu lên bước DetailDataEntry,FCT_CLOS_WORKSTEP_EVENT,ENTRYDATE,KHOP,"PHÁI SINH ở tầng report: MIN(ENTRYDATE) WHERE WORKSTEP_CODE IN ('DetailDataEntry','CLOS_DetailDataEntry')"
42,CLOS,EXITDATE_DDE,Thời gian kết thúc bước DetailDataEntry,FCT_CLOS_WORKSTEP_EVENT,EXITDATE,KHOP,"PHÁI SINH ở tầng report: MAX(EXITDATE) WHERE WORKSTEP_CODE='DetailDataEntry' (SRS chỉ định đúng 1 mã, không kèm 'CLOS_DetailDataEntry' như ENTRYDATE_DDE — giữ nguyên văn SRS, không tự thêm)"
43,CLOS,SLA_DE,Cam kết SLA của Chuyên viên nhập liệu,REF_SLA_NLTT,SLA_DE_RESULT (SYSTEM_CODE='CLOS'),KHOP,"Report-time LEFT JOIN REF_SLA_NLTT (2.4.8) theo PRODUCT_LINE=DIM_CLOS_PRODUCT.PRODUCT_LINE_NAME + (SUB_PRODUCT IS NULL OR SUB_PRODUCT=DIM_CLOS_PRODUCT.PRODUCT_NAME) + NEW_CHANGE_REQUEST=DIM_CLOS_APPLICATION.CHANGE_REQUEST + SYSTEM_CODE='CLOS' (cả 2 khóa PRODUCT_* lấy gián tiếp qua FCT_CLOS_APPLICATION_DAILY.PRODUCT_SK). Đã đóng gap thiết kế (review 2026-09-21): trước đây HLD chỉ thiết kế JOIN này cho RLOS — đọc lại bảng lồng 'Các bảng sử dụng' BR 1.2 của SRS BC5 (file4 'sheet cam kết SLA NLTT (CLOS)') xác nhận đủ 3 điều kiện JOIN cho CLOS, và đối chiếu dữ liệu seed thật (input/BC5TAT(REF_SLA).xlsx, 16 dòng nhánh CLOS) xác nhận unique theo đúng tổ hợp này, không cần REF_PRODUCT/POLICY. KHÔNG denormalize vào DIM_CLOS_APPLICATION (quyết định người dùng, xem HLD_Table_Design.md Section 3 #56/#57)"
44,CLOS,SLA_QC,Cam kết SLA của Kiểm soát nhập liệu,REF_SLA_NLTT,SLA_QC_RESULT (SYSTEM_CODE='CLOS'),KHOP,Cùng LEFT JOIN report-time trên (dòng 43)
45,CLOS,SLA_DE_RESULT,Kết quả SLA của Chuyên viên nhập liệu,,so sánh STEP02_DDE_TAT_CPC vs SLA_DE,KHOP,"PHÁI SINH ở tầng report, so sánh dòng 8 và 43"
46,CLOS,SLA_QC_RESULT,Kết quả SLA của Kiểm soát nhập liệu,,so sánh STEP03_QUALITY_CHECKER_TAT_CPC vs SLA_QC,KHOP,"PHÁI SINH ở tầng report, so sánh dòng 13 và 44"
47,CLOS,SLA_DE_TOTAL_RESULT,Kết quả SLA của Nhập liệu tập trung,,so sánh (STEP02_DDE_TAT_CPC+STEP03_QUALITY_CHECKER_TAT_CPC) vs (SLA_DE+SLA_QC),KHOP,"PHÁI SINH ở tầng report, tổng hợp từ dòng 8,13,43,44"
48,CLOS,QD_DDE,Điểm quy đổi bước DetailDataEntry,REF_SLA_NLTT,QD_DDE (SYSTEM_CODE='CLOS'),KHOP,"Cột 9 của REF_SLA_NLTT — dùng chung đúng 1 điều kiện JOIN report-time với SLA_DE_RESULT (dòng 43), không có điều kiện riêng. Đã đóng gap (review 2026-09-21) cùng lúc với SLA_DE/SLA_QC cho CLOS"
49,CLOS,QD_QC,Điểm quy đổi bước DataInputerChecker,REF_SLA_NLTT,QD_QC (SYSTEM_CODE='CLOS'),KHOP,Cột 10 của REF_SLA_NLTT — cùng điều kiện JOIN report-time với dòng 48
50,RLOS,SYSTEMNAME,Hệ thống (CLOS/RLOS),FCT_RLOS_APPLICATION_DAILY,DATASOURCE,KHOP,"Đính chính cùng lý do với nhánh CLOS (review 2026-09-21) — cột DATASOURCE có sẵn trên FCT_RLOS_APPLICATION_DAILY (cột kỹ thuật, cột 2, luôn cố định 'RLOS' sau khi tách vật lý CLOS/RLOS)"
51,RLOS,PROCESSED_DATE,Ngày dữ liệu - Ngày mới nhất của dữ liệu,FCT_RLOS_APPLICATION_DAILY,PROCESSED_DATE,KHOP,Cột 24 — cùng cột đã dùng cho BC1.PROCESSED_DATE
