stt,he_thong,truong_bao_cao,y_nghia,bang_dtm,cot_dtm,trang_thai,ghi_chu
1,RLOS,PROCESSED_DATE,Ngày dữ liệu - Ngày mới nhất của dữ liệu,AGG_LOS_KPI_APPLICATION,PROCESSED_DATE,KHOP,"Cột 6 (WI_NAME+DATASOURCE='RLOS') — nguồn FCT_RLOS_APPLICATION_DAILY.PROCESSED_DATE, dùng để xếp hồ sơ vào đúng DAYID khi tổng hợp lên AGG_LOS_KPI_YTD_DAILY"
2,RLOS,WI_NAME,Mã hồ sơ,AGG_LOS_KPI_APPLICATION,WI_NAME,KHOP,"Khóa chính (PK, cùng DATASOURCE='RLOS')"
3,RLOS,VOLUME,Tỷ lệ KPI,AGG_LOS_KPI_APPLICATION,VOLUME,KHOP,"Cột 7 — PHÁI SINH: theo DECISION/WORKSTEP xa nhất đã đạt (1.0/0.8/0.6/0.5/0.2/NULL), tính từ UNION FCT_CLOS_WORKSTEP_EVENT/FCT_RLOS_WORKSTEP_EVENT toàn bộ lịch sử hồ sơ, khớp đúng nguyên văn SRS"
4,RLOS,POINT,Điểm KPI,AGG_LOS_KPI_APPLICATION,POINT,KHOP,"Cột 8 — RLOS: SLA_DE_TOTAL_RESULT (report-time LEFT JOIN REF_SLA_NLTT theo PRODUCT_LINE_NAME qua DIM_RLOS_PRODUCT + SYSTEM_CODE='RLOS', review 2026-09-21: không còn đọc từ DIM_RLOS_APPLICATION) + SLA_CREDIT_OFFICER + SLA_CREDIT_APPROVER (từ RLOS_REF_SLA_TDKHCN, vẫn đọc qua DIM_RLOS_APPLICATION như cũ, không đổi), khớp đúng nguyên văn SRS. Seed thật đã xác nhận unique theo PRODUCT_LINE — hết rủi ro 1:N (xem lld/BC5.csv#92)"
5,RLOS,QUY_DOI,Điểm KPI quy đổi,AGG_LOS_KPI_APPLICATION,QUY_DOI,KHOP,"Cột 9 — PHÁI SINH: POINT*8/VOLUME (review 2026-09-17 đã sửa đúng chiều phép tính, bản cũ nhầm POINT/8*VOLUME sai lệch 64 lần), NULL nếu VOLUME NULL"
6,RLOS,TSBD_G2,HS có từ 02 TSBĐ trở lên (YES/NO),AGG_LOS_KPI_APPLICATION,TSBD_G2,KHOP,"Cột 11 — PHÁI SINH: UNION 4 bảng qua FCT_RLOS_COLLATERAL, lọc DAYID=MAX(DAYID)/WI_NAME (ảnh chụp gần nhất), COUNT(*) theo WI_NAME >=2 → YES (review 2026-09-17: SRS Ý nghĩa ghi '>=2' nhưng Cách lấy dữ liệu ghi literal '=2' — HLD áp dụng >=2 theo đúng ý nghĩa nghiệp vụ, coi '=2' là lỗi soạn thảo SRS)"
7,RLOS,INCOM_3,HS có từ 03 nguồn thu trở lên (YES/NO),AGG_LOS_KPI_APPLICATION,INCOM_3,KHOP,"Cột 12 — đếm cờ REPAYFLAGS (10 cột *FLAG trên FCT_RLOS_APPLICATION_DAILY) >=3 → YES, khớp đúng SRS"
8,RLOS,BUSINESS_INCOM,HS có nguồn thu từ kinh doanh (YES/NO),AGG_LOS_KPI_APPLICATION,BUSINESS_INCOM,KHOP,Cột 13 — khớp đúng nguyên văn SRS (loại trừ SeAPro/SeALand). Cùng công thức với FCT_RLOS_APPLICATION_DAILY.FLAG_BUSINESS_INCOME
9,RLOS,DEVIATION_G2,HS có 2 ngoại lệ (YES/NO),AGG_LOS_KPI_APPLICATION,DEVIATION_G2,KHOP,"Cột 14 — đếm dòng FCT_RLOS_DEVIATION (lọc DAYID mới nhất) theo WI_NAME =2 → YES (review 2026-09-17: sửa từ COUNT DISTINCT DEVIATION_BK sang COUNT(*), khớp đúng nguyên văn SRS 'đếm số lượng dòng')"
10,RLOS,DEVIATION_G3,HS có từ 3 ngoại lệ trở lên (YES/NO),AGG_LOS_KPI_APPLICATION,DEVIATION_G3,KHOP,"Cột 15 — cùng cách DEVIATION_G2, >=3 → YES. Cũng có bản song song trên DIM_RLOS_APPLICATION.DEVIATION_G3 (dùng cho tra SLA ở BC1/BC5, khác mục đích)"
11,CLOS,PROCESSED_DATE,Ngày dữ liệu - Ngày mới nhất của dữ liệu,AGG_LOS_KPI_APPLICATION,PROCESSED_DATE,KHOP,WI_NAME+DATASOURCE='CLOS' — nguồn FCT_CLOS_APPLICATION_DAILY.PROCESSED_DATE
12,CLOS,WI_NAME,Mã hồ sơ,AGG_LOS_KPI_APPLICATION,WI_NAME,KHOP,"Khóa chính (PK, cùng DATASOURCE='CLOS')"
13,CLOS,VOLUME,Tỷ lệ KPI,AGG_LOS_KPI_APPLICATION,VOLUME,KHOP,"Cùng công thức PHÁI SINH như nhánh RLOS (dòng 3), tính từ UNION 2 FCT_WORKSTEP_EVENT"
14,CLOS,POINT,Điểm KPI,AGG_LOS_KPI_APPLICATION,POINT,KHOP,"CLOS: SLA_DE_TOTAL_RESULT (report-time LEFT JOIN REF_SLA_NLTT theo PRODUCT_LINE_NAME+PRODUCT_NAME qua DIM_CLOS_PRODUCT + CHANGE_REQUEST qua DIM_CLOS_APPLICATION + SYSTEM_CODE='CLOS', review 2026-09-21: đóng gap CLOS chưa từng có thiết kế) + NVL(SLA_CREDIT_OFFICER theo CLOS_REF_SLA_TDKHDN/TDKHDNL) + NVL(SLA_CREDIT_APPROVER...); riêng APP_GRP='C1' cộng hằng số +4.00, khớp đúng nguyên văn SRS (kể cả rẽ nhánh C1 riêng). Nguồn SLA_DE_TOTAL_RESULT cho CLOS đã có thiết kế đầy đủ (xem lld/BC5.csv#43)"
15,CLOS,QUY_DOI,Điểm KPI quy đổi,AGG_LOS_KPI_APPLICATION,QUY_DOI,KHOP,Cùng công thức PHÁI SINH POINT*8/VOLUME như nhánh RLOS (dòng 5)
16,KPI_KHOI,YEAR_MONTH,Năm báo cáo,,phái sinh tầng report từ DAYID,KHOP,PHÁI SINH hoàn toàn ở tầng report (không phải cột vật lý DTM): năm hiện tại → ngày dữ liệu mới nhất T-1; năm quá khứ → 31/12 của năm đó
17,KPI_KHOI,TAT_RLOS,TAT RLOS,AGG_LOS_KPI_YTD_DAILY,"TAT_RLOS_SEC_SUM_HOUR_YTD, TAT_RLOS_SEC_CASE_CNT_YTD, TAT_RLOS_UNSEC_SUM_HOUR_YTD, TAT_RLOS_UNSEC_CASE_CNT_YTD",KHOP,"PHÁI SINH ở tầng report từ 4 cột lũy kế (cột 12-13, 16-17): AVG_SEC=SUM_HOUR_YTD/CASE_CNT_YTD (SEC), AVG_UNSEC tương tự, TAT_RLOS=(AVG_SEC+AVG_UNSEC)/2. Không lưu vật lý theo quyết định người dùng (tránh trùng dữ liệu suy ra được, HLD_FCT_PDTD_DTM.md:800-810)"
18,KPI_KHOI,TAT_CLOS,TAT CLOS,AGG_LOS_KPI_YTD_DAILY,"TAT_CLOS_SUM_HOUR_YTD, TAT_CLOS_CASE_CNT_YTD",KHOP,PHÁI SINH ở tầng report: TAT_CLOS_SUM_HOUR_YTD/TAT_CLOS_CASE_CNT_YTD (cột 20-21). Không lưu vật lý
19,KPI_KHOI,TAT_TB,TAT trung bình,,(TAT_RLOS+TAT_CLOS)/2,KHOP,PHÁI SINH hoàn toàn ở tầng report từ 2 giá trị đã tính ở dòng 17-18
20,KPI_KHOI,QUY_DOI_RLOS,Điểm KPI RLOS quy đổi,AGG_LOS_KPI_YTD_DAILY,QUY_DOI_RLOS,KHOP,"Cột 23 — lũy kế từ 1/1: QUY_DOI_RLOS(D)=QUY_DOI_RLOS(D-1)+QUY_DOI_RLOS_DAY(D), reset 1/1. Trực tiếp là trường BC9, không cần tính thêm ở report"
21,KPI_KHOI,QUY_DOI_CLOS,Điểm KPI CLOS quy đổi,AGG_LOS_KPI_YTD_DAILY,QUY_DOI_CLOS,KHOP,"Cột 25 — lũy kế từ 1/1, cùng cách QUY_DOI_RLOS"
22,KPI_KHOI,NHAN_SU,Nhân sự Khối PDTD,AGG_LOS_KPI_YTD_DAILY,NHAN_SU,KHOP,"Cột 27 — lũy kế từ 1/1: NHAN_SU(D)=NHAN_SU(D-1)+NEW_USER_CNT_DAY(D). NEW_USER_CNT_DAY (cột 26) = COUNT trên REF_LOS_KPI_USER_YEAR (2.1.7) có KPI_YEAR=năm(DAYID) VÀ TRUNC(FIRST_ELIGIBLE_TS)=DAYID — khớp đúng nguyên văn SRS (UNION 2 ENTRY_EXIT, lọc 8 WORKSTEP, loại 2 user test, theo BI_FLOW)"
23,KPI_KHOI,NSLD,NSLĐ Khối PDTD,,(QUY_DOI_RLOS+QUY_DOI_CLOS)/NHAN_SU,KHOP,PHÁI SINH hoàn toàn ở tầng report từ 3 giá trị đã có ở dòng 20-22. Không lưu vật lý (theo quyết định người dùng)
