stt,he_thong,truong_bao_cao,y_nghia,bang_dtm,cot_dtm,trang_thai,ghi_chu
1,CLOS,PROCESSED_DATE,Ngày dữ liệu,FCT_CLOS_EXCEPTION,RAISED_DATE_TIME,KHOP,"PHÁI SINH ở tầng report: TRUNC(RAISED_DATE_TIME). Cột RAISED_DATE_TIME (cột 10) là 1 phần PK của bảng"
2,CLOS,WI_NAME,Mã hồ sơ,FCT_CLOS_EXCEPTION,WI_NAME,KHOP,"Khóa chính (PK, cùng DAYID/EXCEPTION_CATEGORY/RAISED_BY/RAISED_DATE_TIME)"
3,CLOS,ACTIVITYNAME,Tên bước,DIM_CLOS_EXCEPTION_REASON,ACTIVITYNAME,KHOP,"Join qua FCT_CLOS_EXCEPTION.EXCEPTION_REASON_SK → DIM_CLOS_EXCEPTION_REASON (2.2.1.5). Cột ACTIVITYNAME (NK) — khóa join 2 bước theo đúng SRS: LEFT JOIN theo EXCEPTION_CATEGORY+EXCEPTION_NAME rồi EXISTS-filter qua NG_SB_CLOS_ENTRY_EXIT (HLD_FCT_SB_DWH.md:308-324)"
4,CLOS,EXCEPTION_CATEGORY,Nhóm lý do quyết định,FCT_CLOS_EXCEPTION,EXCEPTION_CATEGORY,KHOP,"Cột 6 — nguồn NG_SB_CLOS_EXCEPTION.EXCEPTION_CATEGORY, cũng là 1 phần PK"
5,CLOS,EXCEPTION_NAME,Tên lý do,FCT_CLOS_EXCEPTION,EXCEPTION_NAME,KHOP,"Cột 7 — nguồn NG_SB_CLOS_EXCEPTION.EXCEPTION_NAME"
6,CLOS,EXCEPTION_REMARKS,Ý kiến,FCT_CLOS_EXCEPTION,EXCEPTION_REMARKS,KHOP,"Cột 8 — nguồn NG_SB_CLOS_EXCEPTION.EXCEPTION_REMARKS"
7,CLOS,RAISED_BY,User tạo lý do,FCT_CLOS_EXCEPTION,RAISED_BY,KHOP,"Cột 9 — nguồn NG_SB_CLOS_EXCEPTION.RAISED_BY, cũng là 1 phần PK. Khóa RAISED_BY_USER_SK bên cạnh giữ khóa tới DIM_LOS_USER"
8,CLOS,RAISED_DATE_TIME,Thời gian tạo lý do,FCT_CLOS_EXCEPTION,RAISED_DATE_TIME,KHOP,"Cột 10 — nguồn NG_SB_CLOS_EXCEPTION.RAISED_DATE_TIME, cũng là 1 phần PK"
9,CLOS,EXCEPTION_CODE,Code lý do,DIM_CLOS_EXCEPTION_REASON,EXCEPTION_CODE,KHOP,"Join qua EXCEPTION_REASON_SK → DIM_CLOS_EXCEPTION_REASON (2.2.1.5, cột 8) — đã tính sẵn PHÁI SINH REGEXP_SUBSTR(EXCEPTION_CATEGORY, '^[^:]+'), đúng khớp công thức SRS. Cột này 'dư thừa' trên DIM theo ghi chú HLD (SRS định nghĩa công thức cho FCT nhưng HLD đặt sẵn trên DIM để tránh tính lại) — người dùng đã xác nhận chấp nhận"
10,CLOS,LOANCASEID,Mã LOANCASEID,DIM_CLOS_APPLICATION,LOANCASEID,KHOP,"Join qua APPLICATION_SK → DIM_CLOS_APPLICATION (cột 5, nguồn NG_SB_CLOS_EXTTABLE.LOANCASEID). Cũng có sẵn ngay trên FCT_CLOS_EXCEPTION.LOANCASEID (cột 16, bổ sung tại PDTD_DTM) — 2 đường đều ra cùng giá trị, ưu tiên dùng cột trực tiếp trên FCT_CLOS_EXCEPTION để tránh join thêm"
11,CLOS,CHECK_FTR,Hồ sơ đạt FTR hay không đạt FTR,FCT_CLOS_EXCEPTION,CHECK_FTR,KHOP,"Cột 13 — PHÁI SINH whitelist theo CUST_GROUP (2 nhóm KHDN/KHDNL, mỗi nhóm 4 tổ hợp WORKSTEP+DECISION với EXCEPTION_CATEGORY miễn trừ riêng), khớp đúng nguyên văn SRS BC7 (review 2026-09-18, xem HLD_FCT_SB_DWH.md:1454)"
